time,value
1662633900,1563
1662634200,1667
1662634500,1625
1662634800,1624
1662635100,1644
1662635400,1725
1662635700,1807
1662636000,1773
1662636300,1801
1662636600,1795
1662636900,1679
1662637200,1757
1662637500,1649
1662637800,1715
1662638100,1715
1662638400,1589
1662638700,1592
1662639000,1619
1662639300,1558
1662639600,1598
1662639900,1494
1662640200,1556
1662640500,1527
1662640800,1560
1662641100,1496
1662641400,1481
1662641700,1628
1662642000,1638
1662642300,1619
1662642600,1583
1662642900,1609
1662643200,1743
1662643500,1777
1662643800,1836
1662644100,1732
1662644400,1698
1662644700,1745
1662645000,1846
1662645300,1669
1662645600,1691
1662645900,1725
1662646200,1929
1662646500,1985
1662646800,1929
1662647100,1719
1662647400,1887
1662647700,1920
1662648000,1936
1662648300,1862
1662648600,1961
1662648900,1828
1662649200,2014
1662649500,1935
1662649800,1850
1662650100,1869
1662650400,1811
1662650700,1812
1662651000,2050
1662651300,1864
1662651600,1825
1662651900,1771
1662652200,1839
1662652500,1784
1662652800,1610
1662653100,1682
1662653400,1772
1662653700,2037
1662654000,2127
1662654300,2088
1662654600,2011
1662654900,1377
1662655200,1234
1662655500,1163
1662655800,1138
1662656100,1017
1662656400,861
1662656700,1126
1662657000,1158
1662657300,1043
1662657600,834
1662657900,1023
1662658200,923
1662658500,840
1662658800,638
1662659100,957
1662659400,992
1662659700,838
1662660000,674
1662660300,934
1662660600,935
1662660900,937
1662661200,1374
1662661500,1035
1662661800,931
1662662100,953
1662662400,777
1662662700,855
1662663000,911
1662663300,796
1662663600,587
1662663900,803
1662664200,883
1662664500,848
1662664800,643
1662665100,829
1662665400,922
1662665700,837
1662666000,580
1662666300,714
1662666600,607
1662666900,548
1662667200,697
1662667500,643
1662667800,438
1662668100,545
1662668400,1143
1662668700,1461
1662669000,712
1662669300,630
1662669600,265
1662669900,570
1662670200,653
1662670500,595
1662670800,547
1662671100,546
1662671400,396
1662671700,595
1662672000,543
1662672300,461
1662672600,404
1662672900,376
1662673200,219
1662673500,304
1662673800,296
1662674100,232
1662674400,171
1662674700,205
1662675000,146
1662675300,137
1662675600,234
1662675900,916
1662676200,203
1662676500,214
1662676800,157
1662677100,270
1662677400,212
1662677700,162
1662678000,87
1662678300,35
1662678600,55
1662678900,29
1662679200,65
1662679500,76
1662679800,52
1662680100,91
1662680400,37
1662680700,75
1662681000,66
1662681300,41
1662681600,43
1662681900,4
1662682200,2
1662682500,2
1662682800,56
1662683100,252
1662683400,57
1662683700,64
1662684000,17
1662684300,77
1662684600,81
1662684900,60
1662685200,48
1662685500,10
1662685800,6
1662686100,32
1662686400,57
1662686700,41
1662687000,57
1662687300,109
1662687600,46
1662687900,139
1662688200,122
1662688500,102
1662688800,166
1662689100,124
1662689400,79
1662689700,121
1662690000,272
1662690300,621
1662690600,1279
1662690900,1284
1662691200,1195
1662691500,1477
1662691800,1618
1662692100,1598
1662692400,1416
1662692700,1576
1662693000,1767
1662693300,1843
1662693600,1711
1662693900,1830
1662694200,1936
1662694500,1968
1662694800,1901
1662695100,2141
1662695400,2083
1662695700,2012
1662696000,2011
1662696300,2243
1662696600,2121
1662696900,2248
1662697200,2235
1662697500,2134
1662697800,2225
1662698100,2264
1662698400,2257
1662698700,2255
1662699000,2290
1662699300,2317
1662699600,2220
1662699900,2188
1662700200,2265
1662700500,2299
1662700800,2359
1662701100,2279
1662701400,2210
1662701700,2147
1662702000,2126
1662702300,2157
1662702600,2353
1662702900,2313
1662703200,2267
1662703500,2236
1662703800,2286
1662704100,2182
1662704400,2144
1662704700,2173
1662705000,2202
1662705300,2285
1662705600,2159
1662705900,2115
1662706200,2205
1662706500,2170
1662706800,2093
1662707100,2206
1662707400,2228
1662707700,2264
1662708000,2207
1662708300,2184
1662708600,2122
1662708900,2190
1662709200,2234
1662709500,2275
1662709800,2171
1662710100,2108
1662710400,2075
1662710700,2172
1662711000,2198
1662711300,2147
1662711600,2210
1662711900,2099
1662712200,2143
1662712500,2181
1662712800,2175
1662713100,2184
1662713400,2115
1662713700,2090
1662714000,2128
1662714300,2222
1662714600,2187
1662714900,2274
